Date : 2022-10-07 15:48:30
Directory : /Users/junioradessu/Documents/ambient-ts-app/src
Total : 885 files,  95655 codes, 5343 comments, 9276 blanks, all 110274 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |        338 |     33,793 |      2,664 |      4,224 |     40,681 |
| JSON             |         15 |     31,338 |          0 |         15 |     31,353 |
| CSS              |        305 |     17,001 |      1,621 |      3,545 |     22,167 |
| TypeScript       |        169 |     10,592 |      1,052 |      1,370 |     13,014 |
| XML              |         37 |      2,558 |          6 |         33 |      2,597 |
| JavaScript       |          1 |        219 |          0 |          3 |        222 |
| Markdown         |         20 |        154 |          0 |         86 |        240 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |        885 |     95,655 |      5,343 |      9,276 |    110,274 |
| App                                                                                                                                                        |         83 |      7,579 |        785 |      1,088 |      9,452 |
| App/components                                                                                                                                             |         50 |      3,922 |        310 |        618 |      4,850 |
| App/components/Chat                                                                                                                                        |          7 |        866 |         30 |        108 |      1,004 |
| App/components/Chat/ChatButton                                                                                                                             |          2 |        201 |          7 |         23 |        231 |
| App/components/Chat/MessageItem                                                                                                                            |          2 |        159 |          3 |         31 |        193 |
| App/components/GlobalModal                                                                                                                                 |          3 |         35 |          7 |         16 |         58 |
| App/components/PageFooter                                                                                                                                  |          4 |        133 |         14 |         20 |        167 |
| App/components/PageHeader                                                                                                                                  |         17 |      1,492 |        140 |        219 |      1,851 |
| App/components/PageHeader/Account                                                                                                                          |          2 |        184 |          6 |         23 |        213 |
| App/components/PageHeader/NavItem                                                                                                                          |          2 |         72 |          4 |         13 |         89 |
| App/components/PageHeader/NavbarDropdownMenu                                                                                                               |          2 |        415 |         16 |         40 |        471 |
| App/components/PageHeader/NetworkSelector                                                                                                                  |          4 |        349 |         15 |         60 |        424 |
| App/components/Sidebar                                                                                                                                     |         14 |      1,003 |         91 |        183 |      1,277 |
